题目ID,维度,题目内容,选项1,选项2,选项3,选项4,选项5,计分权重,反向计分
B07,宿舍关系,我经常因为宿舍琐事感到焦虑,没有,很轻,中等,偏重,严重,1,False
B08,宿舍关系,我觉得自己在宿舍里被孤立了,没有,很轻,中等,偏重,严重,1,False
B09,宿舍关系,我害怕与室友发生正面冲突,没有,很轻,中等,偏重,严重,1,False
B10,宿舍关系,我觉得宿舍的卫生状况让我无法忍受,没有,很轻,中等,偏重,严重,1,False
B11,宿舍关系,我经常因为室友的噪音而无法休息,没有,很轻,中等,偏重,严重,1,False
B12,宿舍关系,我觉得自己在宿舍里必须时刻小心翼翼,没有,很轻,中等,偏重,严重,1,False
B13,宿舍关系,我很难向室友敞开心扉,没有,很轻,中等,偏重,严重,1,False
B14,宿舍关系,我觉得室友的存在干扰了我的学习,没有,很轻,中等,偏重,严重,1,False
B15,宿舍关系,我经常因为宿舍问题而情绪低落,没有,很轻,中等,偏重,严重,1,False
B16,宿舍关系,我觉得自己在宿舍里没有归属感,没有,很轻,中等,偏重,严重,1,False
B17,宿舍关系,我害怕被室友排挤,没有,很轻,中等,偏重,严重,1,False
B18,宿舍关系,我觉得室友的生活方式很不卫生,没有,很轻,中等,偏重,严重,1,False
B19,宿舍关系,我经常因为宿舍问题而想搬出去住,没有,很轻,中等,偏重,严重,1,False
B20,宿舍关系,我觉得自己在宿舍里是个多余的人,没有,很轻,中等,偏重,严重,1,False
C01,考试焦虑,一想到即将到来的考试，我就感到紧张,没有,很轻,中等,偏重,严重,1,False
C02,考试焦虑,我在考场上会出现手抖、出汗等生理反应,没有,很轻,中等,偏重,严重,1,False
C03,考试焦虑,我担心自己在考场上会大脑一片空白,没有,很轻,中等,偏重,严重,1,False
C04,考试焦虑,我对考试结果有过高的期待，导致压力很大,没有,很轻,中等,偏重,严重,1,False
C05,考试焦虑,我在复习期间会出现注意力无法集中的情况,没有,很轻,中等,偏重,严重,1,False
C06,考试焦虑,我害怕因为考不好而让父母失望,没有,很轻,中等,偏重,严重,1,False
C07,考试焦虑,我在考试前一晚通常会失眠,没有,很轻,中等,偏重,严重,1,False
C08,考试焦虑,我觉得考试是一种折磨,没有,很轻,中等,偏重,严重,1,False
C09,考试焦虑,我在拿到试卷时会感到心跳加速,没有,很轻,中等,偏重,严重,1,False
C10,考试焦虑,我担心自己会因为粗心大意而丢分,没有,很轻,中等,偏重,严重,1,False
C11,考试焦虑,我在考试期间会感到胃部不适,没有,很轻,中等,偏重,严重,1,False
C12,考试焦虑,我觉得自己无法应对考试的压力,没有,很轻,中等,偏重,严重,1,False
C13,考试焦虑,我经常在考试后感到极度疲惫,没有,很轻,中等,偏重,严重,1,False
C14,考试焦虑,我害怕在考试中遇到从未见过的题目,没有,很轻,中等,偏重,严重,1,False
C15,考试焦虑,我对自己的应试能力缺乏信心,没有,很轻,中等,偏重,严重,1,False
C16,考试焦虑,我觉得考试成绩决定了我的一切,没有,很轻,中等,偏重,严重,1,False
C17,考试焦虑,我在考试期间会频繁上厕所,没有,很轻,中等,偏重,严重,1,False
C18,考试焦虑,我害怕看到成绩公布的那一刻,没有,很轻,中等,偏重,严重,1,False
C19,考试焦虑,我觉得自己在考试中总是发挥失常,没有,很轻,中等,偏重,严重,1,False
C20,考试焦虑,我对考试产生了强烈的恐惧感,没有,很轻,中等,偏重,严重,1,False
D01,就业压力,我担心毕业后找不到工作,没有,很轻,中等,偏重,严重,1,False
D02,就业压力,我觉得自己的专业在就业市场上没有竞争力,没有,很轻,中等,偏重,严重,1,False
D03,就业压力,我对自己的职业规划感到迷茫,没有,很轻,中等,偏重,严重,1,False
D04,就业压力,我担心自己的薪资待遇无法达到预期,没有,很轻,中等,偏重,严重,1,False
D05,就业压力,我觉得周围的同学都比我优秀,没有,很轻,中等,偏重,严重,1,False
D06,就业压力,我害怕毕业后面临失业的风险,没有,很轻,中等,偏重,严重,1,False
D07,就业压力,我对参加招聘会感到抗拒,没有,很轻,中等,偏重,严重,1,False
D08,就业压力,我觉得自己缺乏实际工作经验,没有,很轻,中等,偏重,严重,1,False
D09,就业压力,我担心自己无法适应职场环境,没有,很轻,中等,偏重,严重,1,False
D10,就业压力,我觉得自己的简历没有亮点,没有,很轻,中等,偏重,严重,1,False
D11,就业压力,我经常因为就业问题而失眠,没有,很轻,中等,偏重,严重,1,False
D12,就业压力,我害怕面对面试官的提问,没有,很轻,中等,偏重,严重,1,False
D13,就业压力,我觉得自己的学历不够高,没有,很轻,中等,偏重,严重,1,False
D14,就业压力,我担心自己会从事一份不喜欢的工作,没有,很轻,中等,偏重,严重,1,False
D15,就业压力,我经常因为就业问题而情绪低落,没有,很轻,中等,偏重,严重,1,False
D16,就业压力,我觉得自己在求职过程中处于劣势,没有,很轻,中等,偏重,严重,1,False
D17,就业压力,我害怕毕业后与同学的差距越来越大,没有,很轻,中等,偏重,严重,1,False
D18,就业压力,我对自己的未来感到悲观,没有,很轻,中等,偏重,严重,1,False
D19,就业压力,我觉得自己无法平衡工作与生活,没有,很轻,中等,偏重,严重,1,False
D20,就业压力,我担心自己会成为“啃老族”,没有,很轻,中等,偏重,严重,1,False
E01,恋爱问题,我觉得自己在恋爱中缺乏安全感,没有,很轻,中等,偏重,严重,1,False
E02,恋爱问题,我担心自己会被伴侣抛弃,没有,很轻,中等,偏重,严重,1,False
E03,恋爱问题,我觉得自己在恋爱中付出的比得到的多,没有,很轻,中等,偏重,严重,1,False
E04,恋爱问题,我经常因为恋爱问题而情绪波动很大,没有,很轻,中等,偏重,严重,1,False
E05,恋爱问题,我害怕与伴侣发生冲突,没有,很轻,中等,偏重,严重,1,False
E06,恋爱问题,我觉得自己无法处理好恋爱与学业的关系,没有,很轻,中等,偏重,严重,1,False
E07,恋爱问题,我担心伴侣会欺骗我,没有,很轻,中等,偏重,严重,1,False
E08,恋爱问题,我在恋爱中感到很压抑,没有,很轻,中等,偏重,严重,1,False
E09,恋爱问题,我害怕自己会一直单身,没有,很轻,中等,偏重,严重,1,False
E10,恋爱问题,我觉得自己在恋爱中失去了自我,没有,很轻,中等,偏重,严重,1,False
E11,恋爱问题,我经常因为伴侣的态度而感到焦虑,没有,很轻,中等,偏重,严重,1,False
E12,恋爱问题,我觉得自己无法与伴侣有效沟通,没有,很轻,中等,偏重,严重,1,False
E13,恋爱问题,我担心家人会反对我的恋爱,没有,很轻,中等,偏重,严重,1,False
E14,恋爱问题,我在恋爱中感到很孤独,没有,很轻,中等,偏重,严重,1,False
E15,恋爱问题,我害怕恋爱会影响我的学习成绩,没有,很轻,中等,偏重,严重,1,False
E16,恋爱问题,我觉得自己对伴侣的依赖过强,没有,很轻,中等,偏重,严重,1,False
E17,恋爱问题,我经常因为恋爱问题而失眠,没有,很轻,中等,偏重,严重,1,False
E18,恋爱问题,我觉得自己在恋爱中总是受伤的一方,没有,很轻,中等,偏重,严重,1,False
E19,恋爱问题,我害怕与伴侣的未来,没有,很轻,中等,偏重,严重,1,False
E20,恋爱问题,我觉得自己在恋爱中变得很敏感,没有,很轻,中等,偏重,严重,1,False
